Verbs,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
strijden,-3.2665755790652278,0.3035499119627923
gaan,-2.5388781494862505,4.27354972841932
krijgen,-2.157204077669123,0.3729569499841074
wandelen,-1.9882304057883335,3.234197816280832
lijken,-1.6832285473095252,0.3035499119627923
maken,-1.601156014743023,5.213485299164338
stromen,-1.5886723571843795,0.3035499119627923
realiseren,-1.4653458430273043,1.943443152663172
groeien,-1.419230655588959,0.3035499119627923
confronteren,-1.3969211952915297,0.4647985891958276
leiden,-1.314680306548604,0.3729569499841074
zijn,-1.209517300734182,-2.4314029165468067
specialiseren,-1.007677302615167,0.3035499119627923
zet,-0.9900255549892556,0.3729569499841074
blijven,-0.8106650820917555,3.0180735572328024
sluiten,-0.740516028339703,0.3729569499841074
vastbesloten,-0.7308834784803442,-0.7262173045352596
ontvangen,-0.7009238517546176,0.3035499119627923
kijken,-0.7009238517546176,0.4135938080115707
voorbereiden,-0.7009238517546176,0.3035499119627923
ontdekken,-0.6727640134396974,-3.019310135638561
aannemen,-0.6330665481353862,0.3035499119627923
bloeien,-0.6330665481353862,0.3729569499841074
beleven,-0.6330665481353862,0.5119168450376185
voelen,-0.574014274154753,1.97406631893325
vasthouden,-0.5629640845069747,0.3035499119627923
struikelen,-0.5629640845069747,0.3035499119627923
infiltreren,-0.5629640845069747,0.6600746189703822
kosten,-0.5629640845069747,0.4830755769228752
benutten,-0.5629640845069747,0.3035499119627923
drijven,-0.4732605627230423,0.3729569499841074
staan,-0.4651886372389765,0.4135938080115707
komen,-0.4603972722869857,-1.460493945201652
gebruiken,-0.4065472861677399,-1.2757171285733098
verwezenlijken,-0.2899090857096803,0.6784294804173351
kiezen,-0.2899090857096803,0.4647985891958276
overwinnen,-0.2899090857096803,0.4135938080115707
twijfelen,-0.2899090857096803,0.4424302579704931
vragen,-0.2899090857096803,-1.0125082746157483
worstelen,-0.2899090857096803,-1.5699277607485125
nemen,-0.2852404587634274,-0.7190911675041541
bewegen,-0.2852404587634274,0.3035499119627923
doen,-0.21509924964406,0.6831161161856106
hebben,-0.1665824905586128,1.935671807586731
worden,-0.1538250986119376,0.7620084023098855
ontmoeten,-0.103489808716423,-2.063704542200855
werken,-0.0542324106176409,1.9619800889512589
bezoeken,0.0438992512706465,0.3729569499841074
leven,0.0438992512706465,0.4135938080115707
geloven,0.0438992512706465,0.3035499119627923
inspireren,0.0438992512706465,0.3035499119627923
ren,0.0660605064444179,0.736971399356007
leren,0.0660605064444179,0.3729569499841074
vliegen,0.0825789959257168,0.3729569499841074
ontmaskeren,0.0825789959257168,1.937847846872244
slaan,0.3032404439664398,0.3729569499841074
wijden,0.3032404439664398,0.3035499119627923
geven,0.3032404439664398,0.698913145605175
uitgekozen,0.3556275215505755,0.3035499119627923
zingen,0.3556275215505755,-0.6150315178446277
optreden,0.3556275215505755,0.3729569499841074
wonen,0.3556275215505755,0.4424302579704931
snelen,0.3556275215505755,0.3035499119627923
zeggen,0.3556275215505755,0.4424302579704931
ontvoeren,0.3556275215505755,-1.1124292621853165
verlaten,0.3556275215505755,0.4135938080115707
ontwikkelen,0.3556275215505755,0.6656669407071558
belonen,0.3556275215505755,0.3035499119627923
schrijven,0.3556275215505755,0.8458101164054
samenbrengen,0.3556275215505755,0.3035499119627923
plaatsen,0.3556275215505755,0.3035499119627923
tonen,0.3556275215505755,0.3035499119627923
verdenken,0.3556275215505755,0.3729569499841074
waarschuwen,0.3556275215505755,0.3035499119627923
stemmen,0.3556275215505755,-1.1124292621853165
doorbrengen,0.3556275215505755,0.4135938080115707
doorbreken,0.3556275215505755,0.3035499119627923
halen,0.3556275215505755,0.3729569499841074
verwachten,0.3556275215505755,0.3035499119627923
vorderen,0.3556275215505755,0.3035499119627923
omarmen,0.3556275215505755,0.3035499119627923
uitvoeren,0.4251728995684854,0.3035499119627923
scheppen,0.4251728995684854,0.3035499119627923
genieten,0.4251728995684854,0.6807998666689544
voltooien,0.4251728995684854,0.6571580954268584
eindigen,0.4251728995684854,0.6760023472166449
besteden,0.4251728995684854,0.5119168450376185
besven,0.4251728995684854,0.3035499119627923
plaatsvinden,0.4251728995684854,0.3035499119627923
vergaren,0.4251728995684854,0.3035499119627923
verbinden,0.4251728995684854,0.3729569499841074
richten,0.4251728995684854,0.4424302579704931
vertellen,0.4251728995684854,-0.6005027272609775
aantrekken,0.4251728995684854,-0.1671388576142279
winnen,0.4658636309436677,0.3035499119627923
aangaan,0.4658636309436677,0.3035499119627923
schilderen,0.4658636309436677,8.122709517114007
kopen,0.4658636309436677,0.6760023472166449
betreden,0.4658636309436677,0.3035499119627923
nspireren,0.4658636309436677,0.6735156634196692
ontstaan,0.4947325653650725,0.3035499119627923
naderen,0.4947325653650725,0.6784294804173351
onderzoeken,0.4947325653650725,-12.31202794625342
lukken,0.4947325653650725,0.654154954001152
hangen,0.4947325653650725,0.3729569499841074
beschermen,0.4947325653650725,0.4135938080115707
besluit,0.4947325653650725,0.6600746189703822
bewijzen,0.4947325653650725,0.3035499119627923
stellen,0.4947325653650725,0.6784294804173351
fascineren,0.4947325653650725,0.6853806631426841
vertrekken,0.5171247835826386,0.3729569499841074
delen,0.5354213494258465,0.4647985891958276
bouwen,0.5354213494258465,-1.1124292621853165
verdiepen,0.5354213494258465,-0.6150315178446277
houden,0.5508922199545864,-0.7190911675041541
openen,0.5508922199545864,0.3035499119627923
spelen,0.5642953034369037,-1.1124292621853165
draaien,0.5761193726047896,-0.6150315178446277
wachten,0.5866980978673898,0.3729569499841074
koken,0.5866980978673898,0.4424302579704931
zetten,0.5962694333851931,-0.7190911675041541
terugkeren,0.6339189848681891,0.4424302579704931
stoppen,0.6906986623574911,0.7435089887754256
helpen,0.7310815417553881,0.2035320834150232
zitten,0.7310815417553881,0.7255575134524875
vastberaden,0.9411465477595784,0.5237263682108954
hopenen,0.9760188447652104,-1.8483288611346809
verdwijnen,0.9760188447652104,-1.5699277607485125
proberen,0.9760188447652104,0.3729569499841074
willen,0.9760188447652104,0.5875205687243968
denken,0.9760188447652104,-0.4114112438343079
terugvinden,1.0945133783039989,-0.7552442077720627
beginnen,1.1825655076442705,4.869556291189654
bereiken,1.2011367904712025,0.3729569499841074
laten,1.229971655846754,-1.2386731050726512
vallen,1.2476108917603432,0.7484549036358623
weten,1.2823307904223176,3.3937496106001803
verliezen,1.2980142730045885,-2.163353284868616
uitmaken,1.2980142730045885,0.3035499119627923
veranderen,1.2980142730045885,-0.7190911675041541
stuiten,1.353290621819408,0.4135938080115707
ervaren,1.3848863680144416,-7.799913734968253
horen,1.4087098549160235,0.3729569499841074
volgen,1.4287435383117495,-7.469514066396481
redden,1.4685971501033326,-7.470056167330532
blijken,1.4685971501033326,-0.7811773863332488
liggen,1.552563807555429,0.3035499119627923
oplossen,1.7236395487913274,-0.6150315178446277
lopen,1.836963806086343,0.4830755769228752
hopen,1.8406012371338087,0.3729569499841074
veroveren,1.858580458451134,-0.6150315178446277
slagen,1.904737428582549,2.870168339085004
brengen,2.048322929927945,0.4647985891958276
zien,2.085747890706391,0.3076397947557725
besluiten,2.221347158331574,3.213252376424531
vinden,2.5355774131351128,5.153804329803295
